Customer Id,Title,First Name,Last Name,Email,Address1,Tracking changes Flag,City,Postcode,Country,On boarddate,ContactNumber
C00001,Mr,Justin Ritter,Otto,Justin Ritter@retail.com,Ap #715-7971 ,Y,Brighton,14727,England,10/1/2019,137-6942
C0000113,Mr,Peter Fuller,Cruz,Peter Fuller@retail.com,794-7783 Felis.,Y,Bangor,56645,Wales,20/5/2019,516-5148
C0000114,Mr,Ben Peterman,Harding,Ben Peterman@retail.com,Ap #118-2924 ,Y,Bangor,3545,Wales,22/5/2019,1-815-285-2999
C0000115,Mr,Thomas Boland,Otto,Thomas Boland@retail.com,608-8436 N,Y,Bangor,04-406,Wales,23/5/2019,1-346-829-2725
C0000118,Mr,Ritsa Hightower,Drew,Ritsa Hightower@retail.com,"P.O. Box 311, 8580",Y,Bangor,A6A 2M1,Wales,14/6/2019,886-1548
C0000119,Mr,Ann Blume,Price,Ann Blume@retail.com,921-2234 Elit,Y,Bangor,845213,Wales,18/6/2019,1-440-555-1718
C0000120,Ms,Sue Ann Reed,Ciaran,Sue Ann Reed@retail.com,445-8845,Y,Bangor,9639,Wales,10/1/2019,842-7931
C0000121,Ms,Jason Klamczynski,Gannon,Jason Klamczynski@retail.com,8716 Id Rd.,Y,Bangor,111744,Wales,14/1/2019,759-0344
C0000122,Ms,Laurel Beltran,Silas,Laurel Beltran@retail.com,702-2505 ,Y,Bangor,98960-025,Wales,2/2/2019,1-721-688-6115
C0000123,Ms,Naresj Patel,Henry,Naresj Patel@retail.com,3016 Libero,Y,Bangor,78690,Wales,10/2/2019,610-8761
C0000124,Ms,Valerie Dominguez,Erasmus,Valerie Dominguez@retail.com,457-1003 ,Y,Bangor,50013,Wales,27/2/2019,779-0252
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
